iter	Passed	Remaining
403	10041	64521
404	10061	64471
405	10087	64448
406	10110	64411
407	10132	64371
408	10164	64393
409	10196	64412
410	10222	64392
411	10245	64357
412	10280	64394
413	10308	64388
414	10337	64388
415	10364	64380
416	10390	64362
417	10416	64346
418	10439	64308
419	10466	64293
420	10489	64259
421	10516	64247
422	10545	64247
423	10571	64223
424	10596	64204
425	10621	64175
426	10644	64140
427	10666	64098
428	10692	64079
429	10716	64047
430	10736	63998
431	10758	63951
432	10783	63927
433	10805	63886
434	10829	63857
435	10850	63810
436	10871	63759
437	10896	63736
438	10918	63696
439	10942	63665
440	10964	63622
441	10990	63603
442	11012	63565
443	11036	63532
444	11058	63490
445	11081	63457
446	11105	63428
447	11130	63403
448	11162	63418
449	11191	63418
450	11217	63397
451	11245	63390
452	11267	63349
453	11292	63325
454	11319	63316
455	11346	63299
456	11373	63291
457	11396	63251
458	11426	63254
459	11452	63234
460	11476	63208
461	11500	63175
462	11525	63151
463	11547	63114
464	11569	63073
465	11595	63053
466	11620	63032
467	11645	63003
468	11665	62956
469	11687	62911
470	11710	62880
471	11732	62838
472	11753	62792
473	11776	62759
474	11798	62717
475	11820	62676
476	11845	62655
477	11866	62607
478	11891	62585
479	11916	62560
480	11937	62516
481	11964	62501
482	11986	62462
483	12007	62418
484	12029	62381
485	12055	62362
486	12078	62329
487	12109	62333
488	12140	62341
489	12167	62327
490	12194	62312
491	12222	62304
492	12244	62268
493	12267	62231
494	12292	62208
495	12321	62205
496	12342	62159
497	12368	62139
498	12394	62120
499	12420	62104
500	12446	62081
501	12466	62033
502	12491	62009
503	12520	62005
504	12542	61969
505	12564	61927
506	12589	61902
507	12613	61876
508	12633	61829
509	12664	61831
510	12690	61814
511	12712	61776
512	12733	61732
513	12758	61705
514	12782	61677
515	12802	61632
516	12828	61609
517	12850	61571
518	12875	61548
519	12896	61506
520	12925	61501
521	12952	61487
522	12977	61464
523	12999	61423
524	13020	61382
525	13043	61349
526	13072	61342
527	13098	61326
528	13127	61320
529	13150	61285
530	13173	61252
531	13197	61226
532	13227	61223
533	13262	61243
534	13288	61224
535	13310	61190
536	13333	61155
537	13362	61148
538	13384	61113
539	13408	61081
540	13437	61075
541	13463	61059
542	13489	61037
543	13511	60998
544	13538	60987
545	13560	60947
546	13590	60946
547	13616	60924
548	13640	60899
549	13661	60854
550	13687	60837
551	13712	60810
552	13736	60783
553	13756	60738
554	13776	60692
555	13797	60650
556	13821	60622
557	13848	60603
558	13869	60565
559	13894	60538
560	13916	60501
561	13941	60479
562	13967	60458
563	13988	60418
564	14013	60396
565	14038	60368
566	14065	60354
567	14086	60315
568	14110	60284
569	14141	60285
570	14169	60274
571	14196	60260
572	14223	60246
573	14248	60220
574	14274	60202
575	14298	60174
576	14327	60163
577	14352	60143
