iter	Logloss
0	0.6700641422
1	0.6487950046
2	0.6280864641
3	0.6090312058
4	0.5921427439
5	0.5754806102
6	0.5610910541
7	0.5466480942
8	0.5332049511
9	0.5211397831
10	0.5104436613
11	0.500128122
12	0.4909585664
13	0.4818241916
14	0.4735421392
15	0.4658165833
16	0.4584952641
17	0.4519442959
18	0.4460242203
19	0.4402356301
20	0.4346895612
21	0.4297138415
22	0.4252227826
23	0.4207945533
24	0.4168550997
25	0.4130538665
26	0.4095594015
27	0.4063908921
28	0.4034819345
29	0.4006957202
30	0.3978733985
31	0.3954147511
32	0.3932368105
33	0.3911967902
34	0.3892533916
35	0.3873557389
36	0.3854569404
37	0.3837766983
38	0.3820380246
39	0.3805716361
40	0.379127859
41	0.3779637537
42	0.3766651327
43	0.3753659489
44	0.3742448219
45	0.3732460906
46	0.3722744183
47	0.3713775429
48	0.370522442
49	0.3697725538
50	0.3689324849
51	0.3679281889
52	0.3673423466
53	0.366643191
54	0.3660493301
55	0.3653916375
56	0.3648623464
57	0.3643606487
58	0.3639172417
59	0.3634394407
60	0.3629276983
61	0.3623876132
62	0.362045635
63	0.3616782347
64	0.3612690083
65	0.360962196
66	0.3606215847
67	0.3602796917
68	0.3599907122
69	0.3597430972
70	0.3594622871
71	0.3592099072
72	0.3589121013
73	0.3585753526
74	0.3583681286
75	0.358120795
76	0.3578368929
77	0.3576494177
78	0.3574018253
79	0.3572484928
80	0.3570614242
81	0.3568570317
82	0.3567184982
83	0.3565500532
84	0.3562271998
85	0.3560780129
86	0.3559489434
87	0.355836327
88	0.3556364054
89	0.3554838327
90	0.3552305336
91	0.3551012395
92	0.354970427
93	0.354604996
94	0.3544775603
95	0.3543779597
96	0.3541262851
97	0.354015406
98	0.3539210382
99	0.3538340717
100	0.3537648614
101	0.3536914937
102	0.3535667035
103	0.3535002999
104	0.3533726304
105	0.353309218
106	0.3531776569
107	0.3530956866
108	0.3530032768
109	0.3529455597
110	0.352885373
111	0.3528275306
112	0.3527948333
113	0.3527526056
114	0.3526409847
115	0.3525744838
116	0.3525191338
117	0.3524452467
118	0.3524025254
119	0.3523169204
120	0.3522698883
121	0.3521917149
122	0.3521250029
123	0.3520822503
124	0.3519225291
125	0.3517121431
126	0.3516567985
127	0.351523901
128	0.3514761065
129	0.3514417099
130	0.351393709
131	0.3513582633
132	0.3511734716
133	0.3511455604
134	0.3511021945
135	0.3510853774
136	0.3509682001
137	0.3509265019
138	0.350860903
139	0.3508239593
140	0.3507858894
141	0.350757516
142	0.350713983
143	0.3506468281
144	0.3506293636
145	0.3505891627
146	0.3505554331
147	0.3505034644
148	0.3504603085
149	0.3504451191
150	0.3504098814
151	0.3503178209
152	0.3502956075
153	0.350272613
154	0.3502295549
155	0.3502056522
156	0.3501683542
157	0.350141544
158	0.3500989394
159	0.3500806582
160	0.3500618732
161	0.3500361536
162	0.3500014117
163	0.3499796831
164	0.3499567238
165	0.349917888
166	0.3498602244
167	0.3498334392
168	0.3498031187
169	0.3497673207
170	0.3497128163
171	0.3496940047
172	0.349669452
173	0.3496493431
174	0.3496180796
175	0.3496123593
176	0.3495499302
177	0.3495141603
178	0.3494787371
179	0.3494369194
180	0.3493947937
181	0.3493602463
182	0.3493422241
183	0.349323295
184	0.349275754
185	0.3492668657
186	0.3492473975
187	0.3492283603
188	0.3492099066
189	0.3491660781
190	0.3490748282
191	0.3490631702
192	0.3490483778
193	0.3490318642
194	0.3488676593
195	0.348814844
196	0.3487913285
197	0.3487730691
198	0.3487346585
199	0.348715307
200	0.348707948
201	0.3486965621
202	0.3486879449
203	0.3486692164
204	0.3486527776
205	0.3486147204
206	0.34859706
207	0.3485749611
208	0.3485642483
209	0.3484624559
210	0.3483852358
211	0.3483550089
212	0.3483415325
213	0.3483257144
214	0.3483138909
215	0.3482952362
216	0.3482539025
217	0.3482399755
218	0.3482066941
219	0.3481819723
220	0.348158562
221	0.3481455225
222	0.3481258104
223	0.3481146533
224	0.3480908905
225	0.3480807005
226	0.3480717298
227	0.3478874979
228	0.3478722373
229	0.3478616788
230	0.3478495323
231	0.3478366285
232	0.3478150001
233	0.3478040764
234	0.3477841329
235	0.3477617483
236	0.3477351659
237	0.3477117737
238	0.3476923387
239	0.3476790981
240	0.3476638133
241	0.347655233
242	0.3476410261
243	0.3476184928
244	0.3476036752
245	0.347594713
246	0.347587195
247	0.3475754817
248	0.347564315
249	0.3475451658
250	0.3475337899
251	0.3475177976
252	0.3474965806
253	0.3474828429
254	0.3474517606
255	0.3474418919
256	0.3474318568
257	0.3474120984
258	0.347405651
259	0.3473857419
260	0.3473774068
261	0.3473698614
262	0.3473627265
263	0.3473479649
264	0.3473185404
265	0.3472984056
266	0.3472727246
267	0.3472533348
268	0.3472434808
269	0.347234183
270	0.3472190446
271	0.3471963133
272	0.3471877561
273	0.3471838026
274	0.3471769245
275	0.3471609139
276	0.3471482642
277	0.3471374102
278	0.3471294305
279	0.3471143353
280	0.347101686
281	0.347087512
282	0.3470367343
283	0.3470210931
284	0.3470020105
285	0.3469972436
286	0.3469810422
287	0.3469664214
288	0.3469466378
289	0.3469314536
290	0.3469194191
291	0.3469128135
292	0.3469073892
293	0.3469004966
294	0.3468795314
295	0.3468665186
296	0.3468577266
297	0.3468415698
298	0.3468243021
299	0.3468161891
300	0.3468102065
301	0.3468056346
302	0.3467801325
303	0.3467432155
304	0.346739373
305	0.3467117425
306	0.346701964
307	0.3466794303
308	0.3466696178
309	0.346655536
310	0.3466408073
311	0.3466327738
312	0.3466012528
313	0.3465806151
314	0.3465682793
315	0.3465541964
316	0.3465450679
317	0.3465301784
318	0.3465238276
319	0.3465178358
320	0.3465106949
321	0.3465026941
322	0.346487926
323	0.346477997
324	0.3464735695
325	0.346464704
326	0.3464545631
327	0.3464492764
328	0.3464436708
329	0.3464330215
330	0.3464250519
331	0.3464080381
332	0.346402082
333	0.3463474734
334	0.3463357155
335	0.3463297599
336	0.3463226766
337	0.3463075481
338	0.3463026166
339	0.346292706
340	0.3462872066
341	0.3462790868
342	0.3462685291
343	0.3462619356
344	0.3462565598
345	0.3462387416
346	0.3462342245
347	0.3462224934
348	0.3462072997
349	0.3462030068
350	0.3461995994
351	0.3461928076
352	0.3461793134
353	0.3461542941
354	0.3461490088
355	0.346144681
356	0.3461381298
357	0.3461295047
358	0.346121825
359	0.3461109732
360	0.3461012806
361	0.3460862361
362	0.3460759374
363	0.3460658474
364	0.3460556101
365	0.3460497207
366	0.3460357706
367	0.346028962
368	0.3460171327
369	0.3460093312
370	0.346004244
371	0.3459890423
372	0.3459819835
373	0.3459695666
374	0.3459556849
375	0.3459488553
376	0.3459399886
377	0.345936333
378	0.3459207189
379	0.3459126584
380	0.3458967537
381	0.3458390388
382	0.345834352
383	0.3458279429
384	0.345820158
385	0.3458172671
386	0.34580338
387	0.3457906965
388	0.3457870648
389	0.3457845383
390	0.3457771855
391	0.3457703168
392	0.3457642082
393	0.3457588182
394	0.345754806
395	0.3457475208
396	0.3457330567
397	0.3457226902
398	0.345713261
399	0.3457095272
400	0.3457028973
401	0.3456971821
402	0.3456894992
403	0.3456814052
404	0.3456748929
405	0.3456678771
406	0.3456500589
407	0.3456410856
408	0.3456320126
409	0.3456256176
410	0.3456154153
411	0.3456117615
412	0.3456071821
413	0.3456022349
414	0.3455964461
415	0.3455876931
416	0.3455443572
417	0.3455368824
418	0.345532695
419	0.345528837
420	0.345520208
421	0.3454539471
422	0.3454294314
423	0.3454255673
424	0.345415362
425	0.3454089653
426	0.3454038889
427	0.3453964335
428	0.3453860159
429	0.3453771159
430	0.3453714879
431	0.3453569661
432	0.3453484858
433	0.3453412668
434	0.3453312035
435	0.3453244294
436	0.3453180106
437	0.3453129756
438	0.3453010548
439	0.3452967671
440	0.3452903422
441	0.3452824976
442	0.3452708304
443	0.3452263493
444	0.3452164311
445	0.3452063057
446	0.3451936317
447	0.3451869403
448	0.3451816622
449	0.3451717559
450	0.3451671517
451	0.3451344212
452	0.3451272772
453	0.3451186872
454	0.3451105212
455	0.3451018713
456	0.3450909801
457	0.3450842729
458	0.3450806517
459	0.345073445
460	0.345067188
461	0.3450603959
462	0.3450527422
463	0.3450419729
464	0.3450342251
465	0.3449403879
466	0.344933804
467	0.3449244827
468	0.3449127457
469	0.3449031061
470	0.3448881692
471	0.3448793495
472	0.3448725976
473	0.3448684654
474	0.3448615584
475	0.3448506162
476	0.3448434172
477	0.344837391
478	0.3448323895
479	0.3448254295
480	0.3448202422
481	0.344792324
482	0.3447836375
483	0.3447760896
484	0.3447648829
485	0.3447603846
486	0.3447561577
487	0.3447513562
488	0.3447137882
489	0.3447078677
490	0.344693322
491	0.3446863261
492	0.3446831336
493	0.3446773203
494	0.3446723442
495	0.3446488304
496	0.3446432119
497	0.3446334546
498	0.3446256076
499	0.3446188924
500	0.3446125309
501	0.3446077184
502	0.3445982743
503	0.3445933629
504	0.3445866253
505	0.3445815414
506	0.3445772659
507	0.3445705515
508	0.3445632701
509	0.3445532413
510	0.3445411988
511	0.3445321861
512	0.3445267987
513	0.3445211003
514	0.344516721
515	0.3445046864
516	0.3444995127
517	0.3444896665
518	0.3444827081
519	0.3444725914
520	0.3444653254
521	0.3444565172
522	0.3444491249
523	0.3444403941
524	0.3444344505
525	0.3444265976
526	0.3444178405
527	0.3444134505
528	0.3444022004
529	0.3443984705
530	0.3443929955
531	0.3443808632
532	0.3443765201
533	0.3443664331
534	0.344363203
535	0.3443482129
536	0.3443426102
537	0.3443334674
538	0.3443293029
539	0.3443239087
540	0.3443185549
541	0.3443151536
542	0.3443069251
543	0.34429663
544	0.3442897207
545	0.3442845562
546	0.3442823987
547	0.3442781581
548	0.3442753522
549	0.3442673517
550	0.3442577911
551	0.3442552289
552	0.3442456376
553	0.3442399227
554	0.3442354675
555	0.3442303142
556	0.3442262149
557	0.3442166533
558	0.3442104313
559	0.3442047901
560	0.3441935276
561	0.3441875681
562	0.3441681297
563	0.3441597345
564	0.3441537264
565	0.3441485255
566	0.3441426172
567	0.3441325781
568	0.3441276741
569	0.3441222632
570	0.3441185047
571	0.3441126833
572	0.344106266
573	0.3440965634
574	0.3440923469
575	0.3440898733
576	0.344085194
577	0.3440790516
578	0.344071542
579	0.3440620658
580	0.3440550565
581	0.3440499661
582	0.3440446769
583	0.3440374618
584	0.3440326725
585	0.3440270988
586	0.3440214578
587	0.3440173536
588	0.3440077088
